rule,idx,project,file,line,verdict,reason
MSC13-C,0,hostap,wpa_supplicant/p2p_supplicant.c,6621,FP,"wps_ie initial NULL is read via `if (wps_ie)`/`wpabuf_len(wps_ie)` later when the p2p2 branch that reassigns it is skipped"
MSC13-C,1,curl,tests/libtest/cli_ws_data.c,117,FP,"sblock/rblock=1 chained assign is read at `if(rblock && sblock)` later in the loop when the send/recv branch that overwrites it is not taken"
MSC13-C,2,curl,lib/formdata.c,536,FP,"retval assigned in switch case is read by the enclosing `while(retval == CURL_FORMADD_OK)` loop condition and by later checks after the loop"
MSC13-C,3,sqlite,ext/expert/sqlite3expert.c,1385,FP,"pIter assigned in for-loop init clause is read immediately in the same statement's condition `pIter!=pEnd`"
MSC13-C,4,sqlite,src/vdbevtab.c,340,FP,"rc=SQLITE_OK survives the pointer-arg branch (no reassignment) and is read at `return rc;` at function end"
MSC13-C,5,hostap,src/pasn/pasn_responder.c,713,FP,"pmksa=NULL is read via `handle_auth_pasn_resp(..., pmksa, status)` at the send_resp label, reachable via many early gotos before pmksa is ever reassigned"
MSC13-C,6,sqlite,src/os_unix.c,3604,FP,"rc assigned by osPwrite() is read immediately in the enclosing do-while condition `while( rc<0 && errno==EINTR )` and later by the caller via return"
MSC13-C,7,curl,lib/vauth/digest.c,796,FP,"result=CURLE_OUT_OF_MEMORY then goto oom; oom: label does `return result;`, a genuine read"
MSC13-C,8,lua,ldebug.c,445,FP,"setreg=-1 is read via `return setreg;` at the end of findsetreg when the loop never updates it"
MSC13-C,9,sqlite,src/tclsqlite.c,4013,FP,"rc=TCL_ERROR in the DB_UNLOCK_NOTIFY case falls through to `return rc;` at the end of DbObjCmd, a genuine read"
MSC13-C,10,curl,lib/curl_fopen.c,90,FP,"tempstore=NULL is read at `if(!tempstore)` when dirslash() returns NULL and the reassignment branch is skipped"
MSC13-C,11,curl,lib/vauth/digest.c,80,FP,"c assigned in for-loop init clause is read immediately via post-decrement in the same statement's condition `*str && c--`"
MSC13-C,12,hostap,src/pae/ieee802_1x_cp.c,658,FP,"sm=cp_ctx is dereferenced to store `sm->new_sak = true;` — the pointer value is genuinely read to compute the store address, even though sqc's LHS-field-write model doesn't count it"
MSC13-C,13,curl,lib/netrc.c,400,FP,"home=NULL is read at `if(!home) return NETRC_FILE_MISSING;` when none of the getpwuid/getenv branches set it"
